ProjectName,IssueType,IssueSummary
Main Testing Project (MTP),Bug,MTP test issue summary
Main Testing Project (MTP),Task,MTP test issue summary
Main Testing Project (MTP),Story,MTP test issue summary
TOUCAN project (TOUCAN),Bug,TOUCAN test issue summary
TOUCAN project (TOUCAN),Task,TOUCAN test issue summary
TOUCAN project (TOUCAN),Story,TOUCAN test issue summary
COALA project (COALA),Bug,COALA test issue summary
COALA project (COALA),Task,COALA test issue summary
COALA project (COALA),Story,COALA test issue summary
JETI project (JETI),Bug,JETI test issue summary
JETI project (JETI),Task,JETI test issue summary
JETI project (JETI),Story,JETI test issue summary
